Tag,Keyword,Attribute name,VR,Field name of a table,Type,Size if settings
00189147,DiffusionAnisotropyType,Diffusion Anisotropy Type,CS,diffusion_anisotropy_type,String,128
00189151,FrameReferenceDateTime,Frame Reference DateTime,DT,frame_reference_datetime,String,208
00189152,MRMetaboliteMapSequence,MR Metabolite Map Sequence,SQ,mr_metabolite_map_sequence,String,128
00189155,ParallelReductionFactorOutOfPlane,Parallel Reduction Factor out-of-plane,FD,parallel_reduction_factor_out_of_plane,String,64
00189159,SpectroscopyAcquisitionOutOfPlanePhaseSteps,Spectroscopy Acquisition Out-of-plane Phase Steps,UL,spectroscopy_acquisition_out_of_plane_phase_steps,String,32
00189166,BulkMotionStatus,Bulk Motion Status,CS,bulk_motion_status,String,128
00189168,ParallelReductionFactorSecondInPlane,Parallel Reduction Factor Second In-plane,FD,parallel_reduction_factor_second_in_plane,String,64
00189169,CardiacBeatRejectionTechnique,Cardiac Beat Rejection Technique,CS,cardiac_beat_rejection_technique,String,128
00189170,RespiratoryMotionCompensationTechnique,Respiratory Motion Compensation Technique,CS,respiratory_motion_compensation_technique,String,128
00189171,RespiratorySignalSource,Respiratory Signal Source,CS,respiratory_signal_source,String,128
00189172,BulkMotionCompensationTechnique,Bulk Motion Compensation Technique,CS,bulk_motion_compensation_technique,String,128
00189173,BulkMotionSignalSource,Bulk Motion Signal Source,CS,bulk_motion_signal_source,String,128
00189174,ApplicableSafetyStandardAgency,Applicable Safety Standard Agency,CS,applicable_safety_standard_agency,String,128
00189175,ApplicableSafetyStandardDescription,Applicable Safety Standard Description,LO,applicable_safety_standard_description,String,512
00189176,OperatingModeSequence,Operating Mode Sequence,SQ,operating_mode_sequence,String,128
00189177,OperatingModeType,Operating Mode Type,CS,operating_mode_type,String,128
00189178,OperatingMode,Operating Mode,CS,operating_mode,String,128
00189179,SpecificAbsorptionRateDefinition,Specific Absorption Rate Definition,CS,specific_absorption_rate_definition,String,128
00189180,GradientOutputType,Gradient Output Type,CS,gradient_output_type,String,128
00189181,SpecificAbsorptionRateValue,Specific Absorption Rate Value,FD,specific_absorption_rate_value,String,64
00189182,GradientOutput,Gradient Output,FD,gradient_output,String,64
00189183,FlowCompensationDirection,Flow Compensation Direction,CS,flow_compensation_direction,String,128
00189184,TaggingDelay,Tagging Delay,FD,tagging_delay,String,64
00189185,RespiratoryMotionCompensationTechniqueDescription,Respiratory Motion Compensation Technique Description,ST,respiratory_motion_compensation_technique_description,Text
00189186,RespiratorySignalSourceID,Respiratory Signal Source ID,SH,respiratory_signal_source_id,String,128
00189195,ChemicalShiftMinimumIntegrationLimitInHz,Chemical Shift Minimum Integration Limit in Hz,FD,chemical_shift_minimum_integration_limit_in_hz,String,64
00189196,ChemicalShiftMaximumIntegrationLimitInHz,Chemical Shift Maximum Integration Limit in Hz,FD,chemical_shift_maximum_integration_limit_in_hz,String,64
00189197,MRVelocityEncodingSequence,MR Velocity Encoding Sequence,SQ,mr_velocity_encoding_sequence,String,128
00189198,FirstOrderPhaseCorrection,First Order Phase Correction,CS,first_order_phase_correction,String,128
00189199,WaterReferencedPhaseCorrection,Water Referenced Phase Correction,CS,water_referenced_phase_correction,String,128
00189200,MRSpectroscopyAcquisitionType,MR Spectroscopy Acquisition Type,CS,mr_spectroscopy_acquisition_type,String,128
00189214,RespiratoryCyclePosition,Respiratory Cycle Position,CS,respiratory_cycle_position,String,128
00189217,VelocityEncodingMaximumValue,Velocity Encoding Maximum Value,FD,velocity_encoding_maximum_value,String,64
00189218,TagSpacingSecondDimension,Tag Spacing Second Dimension,FD,tag_spacing_second_dimension,String,64
00189219,TagAngleSecondAxis,Tag Angle Second Axis,SS,tag_angle_second_axis,String,16
00189220,FrameAcquisitionDuration,Frame Acquisition Duration,FD,frame_acquisition_duration,String,64
00189226,MRImageFrameTypeSequence,MR Image Frame Type Sequence,SQ,mr_image_frame_type_sequence,String,128
00189227,MRSpectroscopyFrameTypeSequence,MR Spectroscopy Frame Type Sequence,SQ,mr_spectroscopy_frame_type_sequence,String,128
00189231,MRAcquisitionPhaseEncodingStepsInPlane,MR Acquisition Phase Encoding Steps in-plane,US,mr_acquisition_phase_encoding_steps_in_plane,String,16
00189232,MRAcquisitionPhaseEncodingStepsOutOfPlane,MR Acquisition Phase Encoding Steps out-of-plane,US,mr_acquisition_phase_encoding_steps_out_of_plane,String,16
00189234,SpectroscopyAcquisitionPhaseColumns,Spectroscopy Acquisition Phase Columns,UL,spectroscopy_acquisition_phase_columns,String,32
00189236,CardiacCyclePosition,Cardiac Cycle Position,CS,cardiac_cycle_position,String,128
00189239,SpecificAbsorptionRateSequence,Specific Absorption Rate Sequence,SQ,specific_absorption_rate_sequence,String,128
00189240,RFEchoTrainLength,RF Echo Train Length,US,rf_echo_train_length,String,16
00189241,GradientEchoTrainLength,Gradient Echo Train Length,US,gradient_echo_train_length,String,16
00189250,ArterialSpinLabelingContrast,Arterial Spin Labeling Contrast,CS,arterial_spin_labeling_contrast,String,128
00189251,MRArterialSpinLabelingSequence,MR Arterial Spin Labeling Sequence,SQ,mr_arterial_spin_labeling_sequence,String,128
00189252,ASLTechniqueDescription,ASL Technique Description,LO,asl_technique_description,String,512
00189253,ASLSlabNumber,ASL Slab Number,US,asl_slab_number,String,16
00189254,ASLSlabThickness,ASL Slab Thickness,FD,asl_slab_thickness,String,64
00189255,ASLSlabOrientation,ASL Slab Orientation,FD,asl_slab_orientation,String,64
00189256,ASLMidSlabPosition,ASL Mid Slab Position,FD,asl_mid_slab_position,String,64
00189257,ASLContext,ASL Context,CS,asl_context,String,128
00189258,ASLPulseTrainDuration,ASL Pulse Train Duration,UL,asl_pulse_train_duration,String,32
00189259,ASLCrusherFlag,ASL Crusher Flag,CS,asl_crusher_flag,String,128
0018925A,ASLCrusherFlowLimit,ASL Crusher Flow Limit,FD,asl_crusher_flow_limit,String,64
0018925B,ASLCrusherDescription,ASL Crusher Description,LO,asl_crusher_description,String,512
0018925C,ASLBolusCutoffFlag,ASL Bolus Cut-off Flag,CS,asl_bolus_cut_off_flag,String,128
0018925D,ASLBolusCutoffTimingSequence,ASL Bolus Cut-off Timing Sequence,SQ,asl_bolus_cut_off_timing_sequence,String,128
0018925E,ASLBolusCutoffTechnique,ASL Bolus Cut-off Technique,LO,asl_bolus_cut_off_technique,String,512
0018925F,ASLBolusCutoffDelayTime,ASL Bolus Cut-off Delay Time,UL,asl_bolus_cut_off_delay_time,String,32
00189260,ASLSlabSequence,ASL Slab Sequence,SQ,asl_slab_sequence,String,128
00189295,ChemicalShiftMinimumIntegrationLimitInppm,Chemical Shift Minimum Integration Limit in ppm,FD,chemical_shift_minimum_integration_limit_in_ppm,String,64
00189296,ChemicalShiftMaximumIntegrationLimitInppm,Chemical Shift Maximum Integration Limit in ppm,FD,chemical_shift_maximum_integration_limit_in_ppm,String,64
00189297,WaterReferenceAcquisition,Water Reference Acquisition,CS,water_reference_acquisition,String,128
00189298,EchoPeakPosition,Echo Peak Position,IS,echo_peak_position,String,96
00189301,CTAcquisitionTypeSequence,CT Acquisition Type Sequence,SQ,ct_acquisition_type_sequence,String,128
00189302,AcquisitionType,Acquisition Type,CS,acquisition_type,String,128
00189303,TubeAngle,Tube Angle,FD,tube_angle,String,64
00189304,CTAcquisitionDetailsSequence,CT Acquisition Details Sequence,SQ,ct_acquisition_details_sequence,String,128
00189305,RevolutionTime,Revolution Time,FD,revolution_time,String,64
00189306,SingleCollimationWidth,Single Collimation Width,FD,single_collimation_width,String,64
00189307,TotalCollimationWidth,Total Collimation Width,FD,total_collimation_width,String,64
00189308,CTTableDynamicsSequence,CT Table Dynamics Sequence,SQ,ct_table_dynamics_sequence,String,128
00189309,TableSpeed,Table Speed,FD,table_speed,String,64
00189310,TableFeedPerRotation,Table Feed per Rotation,FD,table_feed_per_rotation,String,64
00189311,SpiralPitchFactor,Spiral Pitch Factor,FD,spiral_pitch_factor,String,64
00189312,CTGeometrySequence,CT Geometry Sequence,SQ,ct_geometry_sequence,String,128
00189313,DataCollectionCenterPatient,Data Collection Center (Patient),FD,data_collection_center_patient,String,64
00189314,CTReconstructionSequence,CT Reconstruction Sequence,SQ,ct_reconstruction_sequence,String,128
00189315,ReconstructionAlgorithm,Reconstruction Algorithm,CS,reconstruction_algorithm,String,128
00189316,ConvolutionKernelGroup,Convolution Kernel Group,CS,convolution_kernel_group,String,128
00189317,ReconstructionFieldOfView,Reconstruction Field of View,FD,reconstruction_field_of_view,String,64
00189318,ReconstructionTargetCenterPatient,Reconstruction Target Center (Patient),FD,reconstruction_target_center_patient,String,64
00189319,ReconstructionAngle,Reconstruction Angle,FD,reconstruction_angle,String,64
00189320,ImageFilter,Image Filter,SH,image_filter,String,128
00189321,CTExposureSequence,CT Exposure Sequence,SQ,ct_exposure_sequence,String,128
00189322,ReconstructionPixelSpacing,Reconstruction Pixel Spacing,FD,reconstruction_pixel_spacing,String,64
00189323,ExposureModulationType,Exposure Modulation Type,CS,exposure_modulation_type,String,128
00189324,EstimatedDoseSaving,Estimated Dose Saving,FD,estimated_dose_saving,String,64
00189325,CTXRayDetailsSequence,CT X-Ray Details Sequence,SQ,ct_x_ray_details_sequence,String,128
00189326,CTPositionSequence,CT Position Sequence,SQ,ct_position_sequence,String,128
00189327,TablePosition,Table Position,FD,table_position,String,64
00189328,ExposureTimeInms,Exposure Time in ms,FD,exposure_time_in_ms,String,64
00189329,CTImageFrameTypeSequence,CT Image Frame Type Sequence,SQ,ct_image_frame_type_sequence,String,128
00189330,XRayTubeCurrentInmA,X-Ray Tube Current in mA,FD,x_ray_tube_current_in_ma,String,64
00189332,ExposureInmAs,Exposure in mAs,FD,exposure_in_mas,String,64
00189333,ConstantVolumeFlag,Constant Volume Flag,CS,constant_volume_flag,String,128
00189334,FluoroscopyFlag,Fluoroscopy Flag,CS,fluoroscopy_flag,String,128
00189335,DistanceSourceToDataCollectionCenter,Distance Source to Data Collection Center,FD,distance_source_to_data_collection_center,String,64
00189337,ContrastBolusAgentNumber,Contrast/Bolus Agent Number,US,contrast_bolus_agent_number,String,16
00189338,ContrastBolusIngredientCodeSequence,Contrast/Bolus Ingredient Code Sequence,SQ,contrast_bolus_ingredient_code_sequence,String,128
00189340,ContrastAdministrationProfileSequence,Contrast Administration Profile Sequence,SQ,contrast_administration_profile_sequence,String,128
00189341,ContrastBolusUsageSequence,Contrast/Bolus Usage Sequence,SQ,contrast_bolus_usage_sequence,String,128
00189342,ContrastBolusAgentAdministered,Contrast/Bolus Agent Administered,CS,contrast_bolus_agent_administered,String,128
00189343,ContrastBolusAgentDetected,Contrast/Bolus Agent Detected,CS,contrast_bolus_agent_detected,String,128
00189344,ContrastBolusAgentPhase,Contrast/Bolus Agent Phase,CS,contrast_bolus_agent_phase,String,128
00189345,CTDIvol,CTDIvol,FD,ctdivol,String,64
00189346,CTDIPhantomTypeCodeSequence,CTDI Phantom Type Code Sequence,SQ,ctdi_phantom_type_code_sequence,String,128
00189351,CalciumScoringMassFactorPatient,Calcium Scoring Mass Factor Patient,FL,calcium_scoring_mass_factor_patient,String,32
00189352,CalciumScoringMassFactorDevice,Calcium Scoring Mass Factor Device,FL,calcium_scoring_mass_factor_device,String,32
00189353,EnergyWeightingFactor,Energy Weighting Factor,FL,energy_weighting_factor,String,32
00189360,CTAdditionalXRaySourceSequence,CT Additional X-Ray Source Sequence,SQ,ct_additional_x_ray_source_sequence,String,128
00189361,MultienergyCTAcquisition,Multi-energy CT Acquisition,CS,multi_energy_ct_acquisition,String,128
00189362,MultienergyCTAcquisitionSequence,Multi-energy CT Acquisition Sequence,SQ,multi_energy_ct_acquisition_sequence,String,128
00189363,MultienergyCTProcessingSequence,Multi-energy CT Processing Sequence,SQ,multi_energy_ct_processing_sequence,String,128
00189364,MultienergyCTCharacteristicsSequence,Multi-energy CT Characteristics Sequence,SQ,multi_energy_ct_characteristics_sequence,String,128
00189365,MultienergyCTXRaySourceSequence,Multi-energy CT X-Ray Source Sequence,SQ,multi_energy_ct_x_ray_source_sequence,String,128
00189366,XRaySourceIndex,X-Ray Source Index,US,x_ray_source_index,String,16
00189367,XRaySourceID,X-Ray Source ID,UC,x_ray_source_id,String,64
00189368,MultienergySourceTechnique,Multi-energy Source Technique,CS,multi_energy_source_technique,String,128
00189369,SourceStartDateTime,Source Start DateTime,DT,source_start_datetime,String,208
0018936A,SourceEndDateTime,Source End DateTime,DT,source_end_datetime,String,208
0018936B,SwitchingPhaseNumber,Switching Phase Number,US,switching_phase_number,String,16
0018936C,SwitchingPhaseNominalDuration,Switching Phase Nominal Duration,DS,switching_phase_nominal_duration,String,128
0018936D,SwitchingPhaseTransitionDuration,Switching Phase Transition Duration,DS,switching_phase_transition_duration,String,128
0018936E,EffectiveBinEnergy,Effective Bin Energy,DS,effective_bin_energy,String,128
0018936F,MultienergyCTXRayDetectorSequence,Multi-energy CT X-Ray Detector Sequence,SQ,multi_energy_ct_x_ray_detector_sequence,String,128
00189370,XRayDetectorIndex,X-Ray Detector Index,US,x_ray_detector_index,String,16
00189371,XRayDetectorID,X-Ray Detector ID,UC,x_ray_detector_id,String,64
00189372,MultienergyDetectorType,Multi-energy Detector Type,CS,multi_energy_detector_type,String,128
00189373,XRayDetectorLabel,X-Ray Detector Label,ST,x_ray_detector_label,Text
00189374,NominalMaxEnergy,Nominal Max Energy,DS,nominal_max_energy,String,128
00189375,NominalMinEnergy,Nominal Min Energy,DS,nominal_min_energy,String,128
00189376,ReferencedXRayDetectorIndex,Referenced X-Ray Detector Index,US,referenced_x_ray_detector_index,String,16
00189377,ReferencedXRaySourceIndex,Referenced X-Ray Source Index,US,referenced_x_ray_source_index,String,16
00189378,ReferencedPathIndex,Referenced Path Index,US,referenced_path_index,String,16
00189379,MultienergyCTPathSequence,Multi-energy CT Path Sequence,SQ,multi_energy_ct_path_sequence,String,128
0018937A,MultienergyCTPathIndex,Multi-energy CT Path Index,US,multi_energy_ct_path_index,String,16
0018937B,MultienergyAcquisitionDescription,Multi-energy Acquisition Description,UT,multi_energy_acquisition_description,Text
0018937C,MonoenergeticEnergyEquivalent,Monoenergetic Energy Equivalent,FD,monoenergetic_energy_equivalent,String,64
0018937D,MaterialCodeSequence,Material Code Sequence,SQ,material_code_sequence,String,128
0018937E,DecompositionMethod,Decomposition Method,CS,decomposition_method,String,128
0018937F,DecompositionDescription,Decomposition Description,UT,decomposition_description,Text
00189380,DecompositionAlgorithmIdentificationSequence,Decomposition Algorithm Identification Sequence,SQ,decomposition_algorithm_identification_sequence,String,128
00189381,DecompositionMaterialSequence,Decomposition Material Sequence,SQ,decomposition_material_sequence,String,128
00189382,MaterialAttenuationSequence,Material Attenuation Sequence,SQ,material_attenuation_sequence,String,128
00189383,PhotonEnergy,Photon Energy,DS,photon_energy,String,128
00189384,XRayMassAttenuationCoefficient,X-Ray Mass Attenuation Coefficient,DS,x_ray_mass_attenuation_coefficient,String,128
00189401,ProjectionPixelCalibrationSequence,Projection Pixel Calibration Sequence,SQ,projection_pixel_calibration_sequence,String,128
00189402,DistanceSourceToIsocenter,Distance Source to Isocenter,FL,distance_source_to_isocenter,String,32
00189403,DistanceObjectToTableTop,Distance Object to Table Top,FL,distance_object_to_table_top,String,32
00189404,ObjectPixelSpacingInCenterOfBeam,Object Pixel Spacing in Center of Beam,FL,object_pixel_spacing_in_center_of_beam,String,32
00189405,PositionerPositionSequence,Positioner Position Sequence,SQ,positioner_position_sequence,String,128
00189406,TablePositionSequence,Table Position Sequence,SQ,table_position_sequence,String,128
00189407,CollimatorShapeSequence,Collimator Shape Sequence,SQ,collimator_shape_sequence,String,128
00189410,PlanesInAcquisition,Planes in Acquisition,CS,planes_in_acquisition,String,128
00189412,XAXRFFrameCharacteristicsSequence,XA/XRF Frame Characteristics Sequence,SQ,xa_xrf_frame_characteristics_sequence,String,128
00189417,FrameAcquisitionSequence,Frame Acquisition Sequence,SQ,frame_acquisition_sequence,String,128
00189420,XRayReceptorType,X-Ray Receptor Type,CS,x_ray_receptor_type,String,128
00189423,AcquisitionProtocolName,Acquisition Protocol Name,LO,acquisition_protocol_name,String,512
00189424,AcquisitionProtocolDescription,Acquisition Protocol Description,LT,acquisition_protocol_description,Text
00189425,ContrastBolusIngredientOpaque,Contrast/Bolus Ingredient Opaque,CS,contrast_bolus_ingredient_opaque,String,128
00189426,DistanceReceptorPlaneToDetectorHousing,Distance Receptor Plane to Detector Housing,FL,distance_receptor_plane_to_detector_housing,String,32
00189427,IntensifierActiveShape,Intensifier Active Shape,CS,intensifier_active_shape,String,128
00189428,IntensifierActiveDimensions,Intensifier Active Dimension(s),FL,intensifier_active_dimensions,String,32
00189429,PhysicalDetectorSize,Physical Detector Size,FL,physical_detector_size,String,32
00189430,PositionOfIsocenterProjection,Position of Isocenter Projection,FL,position_of_isocenter_projection,String,32
00189432,FieldOfViewSequence,Field of View Sequence,SQ,field_of_view_sequence,String,128
00189433,FieldOfViewDescription,Field of View Description,LO,field_of_view_description,String,512
00189434,ExposureControlSensingRegionsSequence,Exposure Control Sensing Regions Sequence,SQ,exposure_control_sensing_regions_sequence,String,128
00189435,ExposureControlSensingRegionShape,Exposure Control Sensing Region Shape,CS,exposure_control_sensing_region_shape,String,128
00189436,ExposureControlSensingRegionLeftVerticalEdge,Exposure Control Sensing Region Left Vertical Edge,SS,exposure_control_sensing_region_left_vertical_edge,String,16
00189437,ExposureControlSensingRegionRightVerticalEdge,Exposure Control Sensing Region Right Vertical Edge,SS,exposure_control_sensing_region_right_vertical_edge,String,16
00189438,ExposureControlSensingRegionUpperHorizontalEdge,Exposure Control Sensing Region Upper Horizontal Edge,SS,exposure_control_sensing_region_upper_horizontal_edge,String,16
00189439,ExposureControlSensingRegionLowerHorizontalEdge,Exposure Control Sensing Region Lower Horizontal Edge,SS,exposure_control_sensing_region_lower_horizontal_edge,String,16
00189440,CenterOfCircularExposureControlSensingRegion,Center of Circular Exposure Control Sensing Region,SS,center_of_circular_exposure_control_sensing_region,String,16
00189441,RadiusOfCircularExposureControlSensingRegion,Radius of Circular Exposure Control Sensing Region,US,radius_of_circular_exposure_control_sensing_region,String,16
00189442,VerticesOfThePolygonalExposureControlSensingRegion,Vertices of the Polygonal Exposure Control Sensing Region,SS,vertices_of_the_polygonal_exposure_control_sensing_region,String,16
00189447,ColumnAngulationPatient,Column Angulation (Patient),FL,column_angulation_patient,String,32
00189449,BeamAngle,Beam Angle,FL,beam_angle,String,32
00189451,FrameDetectorParametersSequence,Frame Detector Parameters Sequence,SQ,frame_detector_parameters_sequence,String,128
00189452,CalculatedAnatomyThickness,Calculated Anatomy Thickness,FL,calculated_anatomy_thickness,String,32
00189455,CalibrationSequence,Calibration Sequence,SQ,calibration_sequence,String,128
00189456,ObjectThicknessSequence,Object Thickness Sequence,SQ,object_thickness_sequence,String,128
00189457,PlaneIdentification,Plane Identification,CS,plane_identification,String,128
00189461,FieldOfViewDimensionsInFloat,Field of View Dimension(s) in Float,FL,field_of_view_dimensions_in_float,String,32
00189462,IsocenterReferenceSystemSequence,Isocenter Reference System Sequence,SQ,isocenter_reference_system_sequence,String,128
00189463,PositionerIsocenterPrimaryAngle,Positioner Isocenter Primary Angle,FL,positioner_isocenter_primary_angle,String,32
00189464,PositionerIsocenterSecondaryAngle,Positioner Isocenter Secondary Angle,FL,positioner_isocenter_secondary_angle,String,32
00189465,PositionerIsocenterDetectorRotationAngle,Positioner Isocenter Detector Rotation Angle,FL,positioner_isocenter_detector_rotation_angle,String,32
00189466,TableXPositionToIsocenter,Table X Position to Isocenter,FL,table_x_position_to_isocenter,String,32
00189467,TableYPositionToIsocenter,Table Y Position to Isocenter,FL,table_y_position_to_isocenter,String,32
00189468,TableZPositionToIsocenter,Table Z Position to Isocenter,FL,table_z_position_to_isocenter,String,32
00189469,TableHorizontalRotationAngle,Table Horizontal Rotation Angle,FL,table_horizontal_rotation_angle,String,32
00189470,TableHeadTiltAngle,Table Head Tilt Angle,FL,table_head_tilt_angle,String,32
00189471,TableCradleTiltAngle,Table Cradle Tilt Angle,FL,table_cradle_tilt_angle,String,32
00189472,FrameDisplayShutterSequence,Frame Display Shutter Sequence,SQ,frame_display_shutter_sequence,String,128
00189473,AcquiredImageAreaDoseProduct,Acquired Image Area Dose Product,FL,acquired_image_area_dose_product,String,32
00189474,CArmPositionerTabletopRelationship,C-arm Positioner Tabletop Relationship,CS,c_arm_positioner_tabletop_relationship,String,128
00189476,XRayGeometrySequence,X-Ray Geometry Sequence,SQ,x_ray_geometry_sequence,String,128
00189477,IrradiationEventIdentificationSequence,Irradiation Event Identification Sequence,SQ,irradiation_event_identification_sequence,String,128
00189504,XRay3DFrameTypeSequence,X-Ray 3D Frame Type Sequence,SQ,x_ray_three_d_frame_type_sequence,String,128
00189506,ContributingSourcesSequence,Contributing Sources Sequence,SQ,contributing_sources_sequence,String,128
00189507,XRay3DAcquisitionSequence,X-Ray 3D Acquisition Sequence,SQ,x_ray_three_d_acquisition_sequence,String,128
00189508,PrimaryPositionerScanArc,Primary Positioner Scan Arc,FL,primary_positioner_scan_arc,String,32
00189509,SecondaryPositionerScanArc,Secondary Positioner Scan Arc,FL,secondary_positioner_scan_arc,String,32
00189510,PrimaryPositionerScanStartAngle,Primary Positioner Scan Start Angle,FL,primary_positioner_scan_start_angle,String,32
00189511,SecondaryPositionerScanStartAngle,Secondary Positioner Scan Start Angle,FL,secondary_positioner_scan_start_angle,String,32
00189514,PrimaryPositionerIncrement,Primary Positioner Increment,FL,primary_positioner_increment,String,32
00189515,SecondaryPositionerIncrement,Secondary Positioner Increment,FL,secondary_positioner_increment,String,32
00189516,StartAcquisitionDateTime,Start Acquisition DateTime,DT,start_acquisition_datetime,String,208
00189517,EndAcquisitionDateTime,End Acquisition DateTime,DT,end_acquisition_datetime,String,208
00189518,PrimaryPositionerIncrementSign,Primary Positioner Increment Sign,SS,primary_positioner_increment_sign,String,16
00189519,SecondaryPositionerIncrementSign,Secondary Positioner Increment Sign,SS,secondary_positioner_increment_sign,String,16
00189524,ApplicationName,Application Name,LO,application_name,String,512
00189525,ApplicationVersion,Application Version,LO,application_version,String,512
00189526,ApplicationManufacturer,Application Manufacturer,LO,application_manufacturer,String,512
00189527,AlgorithmType,Algorithm Type,CS,algorithm_type,String,128
00189528,AlgorithmDescription,Algorithm Description,LO,algorithm_description,String,512
00189530,XRay3DReconstructionSequence,X-Ray 3D Reconstruction Sequence,SQ,x_ray_three_d_reconstruction_sequence,String,128
00189531,ReconstructionDescription,Reconstruction Description,LO,reconstruction_description,String,512
00189538,PerProjectionAcquisitionSequence,Per Projection Acquisition Sequence,SQ,per_projection_acquisition_sequence,String,128
00189541,DetectorPositionSequence,Detector Position Sequence,SQ,detector_position_sequence,String,128
00189542,XRayAcquisitionDoseSequence,X-Ray Acquisition Dose Sequence,SQ,x_ray_acquisition_dose_sequence,String,128
00189543,XRaySourceIsocenterPrimaryAngle,X-Ray Source Isocenter Primary Angle,FD,x_ray_source_isocenter_primary_angle,String,64
00189544,XRaySourceIsocenterSecondaryAngle,X-Ray Source Isocenter Secondary Angle,FD,x_ray_source_isocenter_secondary_angle,String,64
00189545,BreastSupportIsocenterPrimaryAngle,Breast Support Isocenter Primary Angle,FD,breast_support_isocenter_primary_angle,String,64
00189546,BreastSupportIsocenterSecondaryAngle,Breast Support Isocenter Secondary Angle,FD,breast_support_isocenter_secondary_angle,String,64
00189547,BreastSupportXPositionToIsocenter,Breast Support X Position to Isocenter,FD,breast_support_x_position_to_isocenter,String,64
00189548,BreastSupportYPositionToIsocenter,Breast Support Y Position to Isocenter,FD,breast_support_y_position_to_isocenter,String,64
00189549,BreastSupportZPositionToIsocenter,Breast Support Z Position to Isocenter,FD,breast_support_z_position_to_isocenter,String,64
00189550,DetectorIsocenterPrimaryAngle,Detector Isocenter Primary Angle,FD,detector_isocenter_primary_angle,String,64
00189551,DetectorIsocenterSecondaryAngle,Detector Isocenter Secondary Angle,FD,detector_isocenter_secondary_angle,String,64
00189552,DetectorXPositionToIsocenter,Detector X Position to Isocenter,FD,detector_x_position_to_isocenter,String,64
00189553,DetectorYPositionToIsocenter,Detector Y Position to Isocenter,FD,detector_y_position_to_isocenter,String,64
00189554,DetectorZPositionToIsocenter,Detector Z Position to Isocenter,FD,detector_z_position_to_isocenter,String,64
00189555,XRayGridSequence,X-Ray Grid Sequence,SQ,x_ray_grid_sequence,String,128
00189556,XRayFilterSequence,X-Ray Filter Sequence,SQ,x_ray_filter_sequence,String,128
00189557,DetectorActiveAreaTLHCPosition,Detector Active Area TLHC Position,FD,detector_active_area_tlhc_position,String,64
00189558,DetectorActiveAreaOrientation,Detector Active Area Orientation,FD,detector_active_area_orientation,String,64
00189559,PositionerPrimaryAngleDirection,Positioner Primary Angle Direction,CS,positioner_primary_angle_direction,String,128
00189601,DiffusionBMatrixSequence,Diffusion b-matrix Sequence,SQ,diffusion_b_matrix_sequence,String,128
00189602,DiffusionBValueXX,Diffusion b-value XX,FD,diffusion_b_value_xx,String,64
00189603,DiffusionBValueXY,Diffusion b-value XY,FD,diffusion_b_value_xy,String,64
00189604,DiffusionBValueXZ,Diffusion b-value XZ,FD,diffusion_b_value_xz,String,64
00189605,DiffusionBValueYY,Diffusion b-value YY,FD,diffusion_b_value_yy,String,64
00189606,DiffusionBValueYZ,Diffusion b-value YZ,FD,diffusion_b_value_yz,String,64
00189607,DiffusionBValueZZ,Diffusion b-value ZZ,FD,diffusion_b_value_zz,String,64
00189621,FunctionalMRSequence,Functional MR Sequence,SQ,functional_mr_sequence,String,128
00189622,FunctionalSettlingPhaseFramesPresent,Functional Settling Phase Frames Present,CS,functional_settling_phase_frames_present,String,128
00189623,FunctionalSyncPulse,Functional Sync Pulse,DT,functional_sync_pulse,String,208
00189624,SettlingPhaseFrame,Settling Phase Frame,CS,settling_phase_frame,String,128
00189701,DecayCorrectionDateTime,Decay Correction DateTime,DT,decay_correction_datetime,String,208
00189715,StartDensityThreshold,Start Density Threshold,FD,start_density_threshold,String,64
00189716,StartRelativeDensityDifferenceThreshold,Start Relative Density Difference Threshold,FD,start_relative_density_difference_threshold,String,64
00189717,StartCardiacTriggerCountThreshold,Start Cardiac Trigger Count Threshold,FD,start_cardiac_trigger_count_threshold,String,64
00189718,StartRespiratoryTriggerCountThreshold,Start Respiratory Trigger Count Threshold,FD,start_respiratory_trigger_count_threshold,String,64
00189719,TerminationCountsThreshold,Termination Counts Threshold,FD,termination_counts_threshold,String,64
00189720,TerminationDensityThreshold,Termination Density Threshold,FD,termination_density_threshold,String,64
00189721,TerminationRelativeDensityThreshold,Termination Relative Density Threshold,FD,termination_relative_density_threshold,String,64
00189722,TerminationTimeThreshold,Termination Time Threshold,FD,termination_time_threshold,String,64
00189723,TerminationCardiacTriggerCountThreshold,Termination Cardiac Trigger Count Threshold,FD,termination_cardiac_trigger_count_threshold,String,64
00189724,TerminationRespiratoryTriggerCountThreshold,Termination Respiratory Trigger Count Threshold,FD,termination_respiratory_trigger_count_threshold,String,64
00189725,DetectorGeometry,Detector Geometry,CS,detector_geometry,String,128
00189726,TransverseDetectorSeparation,Transverse Detector Separation,FD,transverse_detector_separation,String,64
00189727,AxialDetectorDimension,Axial Detector Dimension,FD,axial_detector_dimension,String,64
00189729,RadiopharmaceuticalAgentNumber,Radiopharmaceutical Agent Number,US,radiopharmaceutical_agent_number,String,16
00189732,PETFrameAcquisitionSequence,PET Frame Acquisition Sequence,SQ,pet_frame_acquisition_sequence,String,128
00189733,PETDetectorMotionDetailsSequence,PET Detector Motion Details Sequence,SQ,pet_detector_motion_details_sequence,String,128
00189734,PETTableDynamicsSequence,PET Table Dynamics Sequence,SQ,pet_table_dynamics_sequence,String,128
00189735,PETPositionSequence,PET Position Sequence,SQ,pet_position_sequence,String,128
